VariantsB(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): TransformerBlock(
      (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
      (transformer): MultiheadAttention(
        (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
      )
      (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-3): 3 x Sequential(
      (0): TransformerBlock(
        (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
        (transformer): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
        )
        (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Conv2d(3, 8, kernel_size=(2, 2), stride=(2, 2))
    (1-2): 2 x Conv2d(8, 8, kernel_size=(2, 2), stride=(2, 2))
    (3): Identity()
  )
)
Encoder_0.03M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:32:54] Rank:None, Sample ID:0, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.9457
[2025/03/05 17:32:56] Rank:None, Sample ID:1, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.8599
[2025/03/05 17:32:59] Rank:None, Sample ID:2, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.1969
[2025/03/05 17:33:03] Rank:None, Sample ID:3, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.4828
[2025/03/05 17:33:06] Rank:None, Sample ID:4, Epoch[300/300], lr:0.00e+00 pred_PSNR: 25.9509
[2025/03/05 17:33:10] Rank:None, Sample ID:5, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.3596
[2025/03/05 17:33:14] Rank:None, Sample ID:6, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.9067
[2025/03/05 17:33:17] Rank:None, Sample ID:7, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.008
[2025/03/05 17:33:22] Rank:None, Sample ID:8, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.5262
[2025/03/05 17:33:25] Rank:None, Sample ID:9, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.34
[2025/03/05 17:33:29] Rank:None, Sample ID:10, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.0324
[2025/03/05 17:33:32] Rank:None, Sample ID:11, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0156
[2025/03/05 17:33:36] Rank:None, Sample ID:12, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.1619
[2025/03/05 17:33:39] Rank:None, Sample ID:13, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.7792
[2025/03/05 17:33:43] Rank:None, Sample ID:14, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.4777
[2025/03/05 17:33:45] Rank:None, Sample ID:15, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.9981
