VariantsC(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): TransformerBlock(
      (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
      (transformer): MultiheadAttention(
        (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
      )
      (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-3): 3 x Sequential(
      (0): TransformerBlock(
        (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
        (transformer): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
        )
        (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-2): 2 x Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(8, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (3): Identity()
  )
)
Encoder_0.03M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:34:54] Rank:None, Sample ID:0, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1548
[2025/03/05 17:34:59] Rank:None, Sample ID:1, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.6331
[2025/03/05 17:35:02] Rank:None, Sample ID:2, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.1524
[2025/03/05 17:35:08] Rank:None, Sample ID:3, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.7147
[2025/03/05 17:35:13] Rank:None, Sample ID:4, Epoch[300/300], lr:0.00e+00 pred_PSNR: 25.4697
[2025/03/05 17:35:18] Rank:None, Sample ID:5, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7243
[2025/03/05 17:35:23] Rank:None, Sample ID:6, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3382
[2025/03/05 17:35:27] Rank:None, Sample ID:7, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.3873
[2025/03/05 17:35:33] Rank:None, Sample ID:8, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.8753
[2025/03/05 17:35:38] Rank:None, Sample ID:9, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.8189
[2025/03/05 17:35:42] Rank:None, Sample ID:10, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.0856
[2025/03/05 17:35:47] Rank:None, Sample ID:11, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5721
[2025/03/05 17:35:52] Rank:None, Sample ID:12, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.6691
[2025/03/05 17:35:57] Rank:None, Sample ID:13, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.7118
[2025/03/05 17:36:01] Rank:None, Sample ID:14, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.419
[2025/03/05 17:36:06] Rank:None, Sample ID:15, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.0246
[2025/03/05 17:36:12] Rank:None, Sample ID:16, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.0675
[2025/03/05 17:36:17] Rank:None, Sample ID:17, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.7131
[2025/03/05 17:36:21] Rank:None, Sample ID:18, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.4671
[2025/03/05 17:36:27] Rank:None, Sample ID:19, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.2478
[2025/03/05 17:36:32] Rank:None, Sample ID:20, Epoch[300/300], lr:0.00e+00 pred_PSNR: 12.6677
[2025/03/05 17:36:37] Rank:None, Sample ID:21, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.5418
[2025/03/05 17:36:41] Rank:None, Sample ID:22, Epoch[300/300], lr:0.00e+00 pred_PSNR: 11.5838
[2025/03/05 17:36:44] Rank:None, Sample ID:23, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.6972
[2025/03/05 17:36:49] Rank:None, Sample ID:24, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.1168
[2025/03/05 17:36:54] Rank:None, Sample ID:25, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.2144
[2025/03/05 17:36:56] Rank:None, Sample ID:26, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.4109
[2025/03/05 17:36:59] Rank:None, Sample ID:27, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.8055
[2025/03/05 17:37:04] Rank:None, Sample ID:28, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.7784
[2025/03/05 17:37:07] Rank:None, Sample ID:29, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.216
[2025/03/05 17:37:12] Rank:None, Sample ID:30, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.1864
[2025/03/05 17:37:17] Rank:None, Sample ID:31, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.6575
[2025/03/05 17:37:22] Rank:None, Sample ID:32, Epoch[300/300], lr:0.00e+00 pred_PSNR: 13.7206
[2025/03/05 17:37:27] Rank:None, Sample ID:33, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.786
[2025/03/05 17:37:32] Rank:None, Sample ID:34, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.6264
[2025/03/05 17:37:37] Rank:None, Sample ID:35, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.1018
[2025/03/05 17:37:39] Rank:None, Sample ID:36, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.192
[2025/03/05 17:37:44] Rank:None, Sample ID:37, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5183
[2025/03/05 17:37:49] Rank:None, Sample ID:38, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.2986
[2025/03/05 17:37:54] Rank:None, Sample ID:39, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.4815
[2025/03/05 17:37:58] Rank:None, Sample ID:40, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.5244
[2025/03/05 17:38:03] Rank:None, Sample ID:41, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.9954
[2025/03/05 17:38:07] Rank:None, Sample ID:42, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.6077
[2025/03/05 17:38:11] Rank:None, Sample ID:43, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.4406
[2025/03/05 17:38:15] Rank:None, Sample ID:44, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.2123
[2025/03/05 17:38:20] Rank:None, Sample ID:45, Epoch[300/300], lr:0.00e+00 pred_PSNR: 12.0451
[2025/03/05 17:38:25] Rank:None, Sample ID:46, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9658
[2025/03/05 17:38:30] Rank:None, Sample ID:47, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.3676
[2025/03/05 17:38:35] Rank:None, Sample ID:48, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.1933
[2025/03/05 17:38:40] Rank:None, Sample ID:49, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.4945
[2025/03/05 17:38:45] Rank:None, Sample ID:50, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8544
[2025/03/05 17:38:50] Rank:None, Sample ID:51, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.2786
[2025/03/05 17:38:54] Rank:None, Sample ID:52, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.2046
[2025/03/05 17:38:59] Rank:None, Sample ID:53, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9861
[2025/03/05 17:39:03] Rank:None, Sample ID:54, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5989
[2025/03/05 17:39:07] Rank:None, Sample ID:55, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.6856
[2025/03/05 17:39:12] Rank:None, Sample ID:56, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.9711
[2025/03/05 17:39:17] Rank:None, Sample ID:57, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.5749
[2025/03/05 17:39:23] Rank:None, Sample ID:58, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7764
[2025/03/05 17:39:28] Rank:None, Sample ID:59, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.8271
[2025/03/05 17:39:34] Rank:None, Sample ID:60, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3768
[2025/03/05 17:39:39] Rank:None, Sample ID:61, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.8985
[2025/03/05 17:39:44] Rank:None, Sample ID:62, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.2816
