VariantsC(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): SSMBlock(
      (block): S4ND(
        (kernel): ModuleList(
          (0-1): 2 x SSMKernelDPLR()
        )
      )
    )
    (1-3): 3 x Sequential(
      (0): SSMBlock(
        (block): S4ND(
          (kernel): ModuleList(
            (0-1): 2 x SSMKernelDPLR()
          )
        )
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-2): 2 x Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(8, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (3): Identity()
  )
)
Encoder_0.0M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:44:07] Rank:None, Sample ID:0, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.238
[2025/03/05 17:44:15] Rank:None, Sample ID:1, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.7544
[2025/03/05 17:44:23] Rank:None, Sample ID:2, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.1773
[2025/03/05 17:44:31] Rank:None, Sample ID:3, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.4088
[2025/03/05 17:44:39] Rank:None, Sample ID:4, Epoch[300/300], lr:0.00e+00 pred_PSNR: 25.7038
[2025/03/05 17:44:46] Rank:None, Sample ID:5, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3395
[2025/03/05 17:44:54] Rank:None, Sample ID:6, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.3989
[2025/03/05 17:45:01] Rank:None, Sample ID:7, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5046
[2025/03/05 17:45:09] Rank:None, Sample ID:8, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.0668
[2025/03/05 17:45:17] Rank:None, Sample ID:9, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6693
[2025/03/05 17:45:25] Rank:None, Sample ID:10, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.4499
[2025/03/05 17:45:32] Rank:None, Sample ID:11, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.8326
[2025/03/05 17:45:40] Rank:None, Sample ID:12, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6899
[2025/03/05 17:45:47] Rank:None, Sample ID:13, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.7323
[2025/03/05 17:45:55] Rank:None, Sample ID:14, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.8744
[2025/03/05 17:46:02] Rank:None, Sample ID:15, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.8992
[2025/03/05 17:46:10] Rank:None, Sample ID:16, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.8682
[2025/03/05 17:46:18] Rank:None, Sample ID:17, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.8859
[2025/03/05 17:46:25] Rank:None, Sample ID:18, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.5172
[2025/03/05 17:46:33] Rank:None, Sample ID:19, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.412
[2025/03/05 17:46:41] Rank:None, Sample ID:20, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.1316
[2025/03/05 17:46:49] Rank:None, Sample ID:21, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.009
[2025/03/05 17:46:57] Rank:None, Sample ID:22, Epoch[300/300], lr:0.00e+00 pred_PSNR: 13.4507
[2025/03/05 17:47:05] Rank:None, Sample ID:23, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.6464
[2025/03/05 17:47:12] Rank:None, Sample ID:24, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0973
[2025/03/05 17:47:20] Rank:None, Sample ID:25, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.4964
[2025/03/05 17:47:28] Rank:None, Sample ID:26, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.5307
[2025/03/05 17:47:35] Rank:None, Sample ID:27, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.2425
[2025/03/05 17:47:43] Rank:None, Sample ID:28, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.2826
[2025/03/05 17:47:51] Rank:None, Sample ID:29, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.2149
[2025/03/05 17:47:58] Rank:None, Sample ID:30, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.7118
[2025/03/05 17:48:06] Rank:None, Sample ID:31, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.4468
[2025/03/05 17:48:14] Rank:None, Sample ID:32, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.5469
[2025/03/05 17:48:21] Rank:None, Sample ID:33, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3164
[2025/03/05 17:48:29] Rank:None, Sample ID:34, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.2853
[2025/03/05 17:48:37] Rank:None, Sample ID:35, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.3704
