S4DPure(
  (s4dblock): S4D(
    (kernel): S4DKernel()
    (activation): GELU(approximate='none')
    (dropout): Identity()
    (output_linear): Sequential(
      (0): Conv1d(3, 6, kernel_size=(1,), stride=(1,))
      (1): GLU(dim=-2)
    )
  )
  (encoder): Sequential(
    (0): Conv2d(3, 8, kernel_size=(8, 8), stride=(8, 8))
  )
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (proj): Conv2d(3, 6, kernel_size=(1, 1), stride=(1, 1))
)
Encoder_0.0M_Decoder_0.0M_Total_0.0M
[2025/01/30 08:24:48] Rank:None, Sample ID:0, Epoch[300/300], lr:0.00e+00 pred_PSNR: 12.99
[2025/01/30 08:24:50] Rank:None, Sample ID:1, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.43
[2025/01/30 08:24:52] Rank:None, Sample ID:2, Epoch[300/300], lr:0.00e+00 pred_PSNR: 13.07
[2025/01/30 08:24:54] Rank:None, Sample ID:3, Epoch[300/300], lr:0.00e+00 pred_PSNR: 12.96
[2025/01/30 08:24:55] Rank:None, Sample ID:4, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.49
[2025/01/30 08:24:57] Rank:None, Sample ID:5, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.88
[2025/01/30 08:24:59] Rank:None, Sample ID:6, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.54
[2025/01/30 08:25:01] Rank:None, Sample ID:7, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.58
[2025/01/30 08:25:02] Rank:None, Sample ID:8, Epoch[300/300], lr:0.00e+00 pred_PSNR: 27.8
[2025/01/30 08:25:04] Rank:None, Sample ID:9, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.09
[2025/01/30 08:25:06] Rank:None, Sample ID:10, Epoch[300/300], lr:0.00e+00 pred_PSNR: 26.84
[2025/01/30 08:25:08] Rank:None, Sample ID:11, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.09
[2025/01/30 08:25:10] Rank:None, Sample ID:12, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.17
